Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap
101,GE Vernova T&D India Ltd.,GVT&D,Capital Goods,Electric Equipment,111421
102,United Spirits Ltd.,UNITDSPR,Alcohol,Breweries & Distilleries,110557
103,Aditya Birla Capital Ltd.,ABCAPITAL,Finance,Finance - NBFC,109828
104,Lloyds Metals & Energy Ltd.,LLOYDSME,Iron & Steel,Steel/Sponge Iron/Pig Iron,107974
105,GMR Airports Ltd.,GMRAIRPORT,Aviation,Airport Management Services,107543
106,HDFC Asset Management Company Ltd.,HDFCAMC,Finance,Finance - Asset Management,107197
107,Tata Consumer Products Ltd.,TATACONSUM,Agriculture,Tea/Coffee,106985
108,Lenskart Solutions Ltd.,LENSKART,Healthcare,Medical Equipment/Supplies/Accessories,106480
109,Vedanta Ltd.,VEDL,Non - Ferrous Metals,Metal - Non Ferrous,105385
110,Mazagon Dock Shipbuilders Ltd.,MAZDOCK,Ship Building,Ship Building,104072
111,Ambuja Cements Ltd.,AMBUJACEM,Construction Materials,Cement & Construction Materials,103741
112,One97 Communications Ltd.,PAYTM,Information Technology,Fintech,102838
113,The Indian Hotels Company Ltd.,INDHOTEL,Hospitality,"Hotel, Resort & Restaurants",102686
114,Oracle Financial Services Software Ltd.,OFSS,Information Technology,IT - Software,102322
115,JSW Energy Ltd.,JSWENERGY,Power,Power Generation/Distribution,102253
116,Lupin Ltd.,LUPIN,Healthcare,Pharmaceuticals & Drugs,102192
117,Indus Towers Ltd.,INDUSTOWER,Telecom,Telecommunication - Service  Provider,101451
118,Ashok Leyland Ltd.,ASHOKLEY,Automobile & Ancillaries,Automobiles-Trucks/Lcv,100972
119,Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare,Pharmaceuticals & Drugs,100328
120,Mankind Pharma Ltd.,MANKIND,Healthcare,Pharmaceuticals & Drugs,99945
121,Bharat Forge Ltd.,BHARATFORG,Automobile & Ancillaries,Forgings,99203
122,Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare,Hospital & Healthcare Services,98301
123,Laurus Labs Ltd.,LAURUSLABS,Healthcare,Pharmaceuticals & Drugs,98064
124,Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods,Household & Personal Products,95781
125,Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,Pharmaceuticals & Drugs,95398
126,FSN E-Commerce Ventures Ltd.,NYKAA,Information Technology,e-Commerce,94802
127,Shree Cement Ltd.,SHREECEM,Construction Materials,Cement & Construction Materials,89180
128,IDBI Bank Ltd.,IDBI,Banking,Bank - Private,88600
129,REC Ltd.,RECLTD,Finance,Finance Term Lending,88450
130,Meesho Ltd.,MEESHO,Information Technology,e-Commerce,88426
131,Persistent Systems Ltd.,PERSISTENT,Information Technology,IT - Software,88025
132,The Federal Bank Ltd.,FEDERALBNK,Banking,Bank - Private,87250
133,Info Edge (India) Ltd.,NAUKRI,Information Technology,BPO/ITeS,86960
134,Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,Consumer Durables - Electronics,86449
135,AU Small Finance Bank Ltd.,AUBANK,Banking,Bank - Private,81570
136,Havells India Ltd.,HAVELLS,Capital Goods,Electric Equipment,81458
137,ICICI Lombard General Insurance Company Ltd.,ICICIGI,Finance,Insurance,81273
138,Bharti Hexacom Ltd.,BHARTIHEXA,Telecom,Telecommunication - Service  Provider,81055
139,Coforge Ltd.,COFORGE,Information Technology,IT - Software,80612
140,PB Fintech Ltd.,POLICYBZR,Information Technology,Fintech,80463
141,IndusInd Bank Ltd.,INDUSINDBK,Banking,Bank - Private,80407
142,Hindustan Petroleum Corporation Ltd.,HINDPETRO,Crude Oil,Refineries,79368
143,JSW Infrastructure Ltd.,JSWINFRA,Logistics,Port,79034
144,NTPC Green Energy Ltd.,NTPCGREEN,Power,Power Generation/Distribution,77548
145,SRF Ltd.,SRF,Chemicals,Chemicals,77340
146,NHPC Ltd.,NHPC,Power,Power Generation/Distribution,77246
147,Waaree Energies Ltd.,WAAREEENER,Capital Goods,Electric Equipment,76975
148,L&T Finance Ltd.,LTF,Finance,Finance - NBFC,76798
149,Oil India Ltd.,OIL,Crude Oil,Oil Exploration,76434
150,Swiggy Ltd.,SWIGGY,Information Technology,e-Commerce,76405
151,Multi Commodity Exchange Of India Ltd.,MCX,Finance,Finance - Stock Broking,74521
152,Nippon Life India Asset Management Ltd.,NAM-INDIA,Finance,Finance - Asset Management,74495
153,NMDC Ltd.,NMDC,Mining,Mining & Minerals,74185
154,IDFC First Bank Ltd.,IDFCFIRSTB,Banking,Bank - Private,73798
155,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Finance,Insurance,73411
156,Dabur India Ltd.,DABUR,Fast Moving Consumer Goods,Household & Personal Products,72306
157,Adani Total Gas Ltd.,ATGL,Gas Transmission,Gas Transmission/Marketing,71873
158,Aster DM Quality Care Ltd.,ASTERDM,Healthcare,Hospital & Healthcare Services,71743
159,UNO Minda Ltd.,UNOMINDA,Automobile & Ancillaries,Auto Ancillary,71606
160,Yes Bank Ltd.,YESBANK,Banking,Bank - Private,71250
161,Fortis Healthcare Ltd.,FORTIS,Healthcare,Hospital & Healthcare Services,70589
162,Bajaj Housing Finance Ltd.,BAJAJHFL,Finance,Finance - Housing,70258
163,Steel Authority Of India Ltd.,SAIL,Iron & Steel,Steel & Iron Products,70012
164,Apar Industries Ltd.,APARINDS,Capital Goods,Electric Equipment,69927
165,National Aluminium Company Ltd.,NATIONALUM,Non - Ferrous Metals,Aluminium & Aluminium Products,69057
166,The Phoenix Mills Ltd.,PHOENIXLTD,Realty,Construction - Real Estate,68528
167,Prestige Estates Projects Ltd.,PRESTIGE,Realty,Construction - Real Estate,68383
168,Biocon Ltd.,BIOCON,Healthcare,Pharmaceuticals & Drugs,67616
169,Oberoi Realty Ltd.,OBEROIRLTY,Realty,Construction - Real Estate,67019
170,Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare,Pharmaceuticals & Drugs,66041
171,Torrent Power Ltd.,TORNTPOWER,Power,Power Generation/Distribution,66004
172,Bank Of India,BANKINDIA,Banking,Bank - Public,65490
173,Suzlon Energy Ltd.,SUZLON,Capital Goods,Electric Equipment,64756
174,Indian Overseas Bank,IOB,Banking,Bank - Public,64683
175,Alkem Laboratories Ltd.,ALKEM,Healthcare,Pharmaceuticals & Drugs,64553
176,Berger Paints India Ltd.,BERGEPAINT,Chemicals,Paints,63629
177,Schaeffler India Ltd.,SCHAEFFLER,Automobile & Ancillaries,Bearings,63212
178,Kalyan Jewellers India Ltd.,KALYANKJIL,Diamond & Jewellery,Diamond  &  Jewellery,62817
179,Radico Khaitan Ltd.,RADICO,Alcohol,Breweries & Distilleries,62369
180,General Insurance Corporation of India,GICRE,Finance,Insurance,61808
181,Bank Of Maharashtra,MAHABANK,Banking,Bank - Public,61709
182,Coromandel International Ltd.,COROMANDEL,Chemicals,Fertilizers,61704
183,Jindal Stainless Ltd.,JSL,Iron & Steel,Steel & Iron Products,60772
184,SBI Cards And Payment Services Ltd.,SBICARD,Finance,Finance - NBFC,60163
185,Godrej Properties Ltd.,GODREJPROP,Realty,Construction - Real Estate,59986
186,RBL Bank Ltd.,RBLBANK,Banking,Bank - Private,59757
187,Ather Energy Ltd.,ATHERENERG,Automobile & Ancillaries,Automobile Two & Three Wheelers,59610
188,APL Apollo Tubes Ltd.,APLAPOLLO,Iron & Steel,Steel & Iron Products,58142
189,Abbott India Ltd.,ABBOTINDIA,Healthcare,Pharmaceuticals & Drugs,57537
190,Linde India Ltd.,LINDEINDIA,Industrials Gases & Fuels,Industrial  Gases & Fuels,57093
191,HDB Financial Services Ltd.,HDBFS,Finance,Finance - NBFC,57044
192,MRF Ltd.,MRF,Automobile & Ancillaries,Tyres & Allied,56580
193,KEI Industries Ltd.,KEI,Electricals,Cable,54492
194,Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Finance,Finance - NBFC,54188
195,Motilal Oswal Financial Services Ltd.,MOTILALOFS,Finance,Finance - Stock Broking,53992
196,Colgate-Palmolive (India) Ltd.,COLPAL,Fast Moving Consumer Goods,Household & Personal Products,53883
197,Max Financial Services Ltd.,MFSL,Finance,Finance - Others,53320
198,Tube Investments of India Ltd.,TIINDIA,Automobile & Ancillaries,Auto Ancillary,53078
199,The Fertilisers And Chemicals Travancore Ltd.,FACT,Chemicals,Fertilizers,52342
200,Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,Chemicals,52060
201,Bharat Dynamics Ltd.,BDL,Capital Goods,Aerospace & Defense,51282
202,Hindustan Copper Ltd.,HINDCOPPER,Non - Ferrous Metals,Metal - Non Ferrous,51141
203,Anthem Biosciences Ltd.,ANTHEM,Healthcare,Pharmaceuticals & Drugs,50157
204,Sundaram Finance Ltd.,SUNDARMFIN,Finance,Finance - NBFC,49612
205,Vishal Mega Mart Ltd.,VMM,Retailing,Retailing,49425
206,Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile & Ancillaries,Auto Ancillary,49412
207,Welspun Corp Ltd.,WELCORP,Iron & Steel,Steel & Iron Products,49405
208,Mphasis Ltd.,MPHASIS,Information Technology,IT - Software,49036
209,Gland Pharma Ltd.,GLAND,Healthcare,Pharmaceuticals & Drugs,48975
210,Tata Communications Ltd.,TATACOMM,Telecom,Telecommunication - Service  Provider,48967
211,Thermax Ltd.,THERMAX,Capital Goods,Engineering - Industrial Equipments,48270
212,Authum Investment & Infrastructure Ltd.,AIIL,Finance,Finance - Investment,47990
213,UPL Ltd.,UPL,Chemicals,Pesticides & Agrochemicals,47679
214,360 One Wam Ltd.,360ONE,Finance,Finance - Stock Broking,47443
215,Rail Vikas Nigam Ltd.,RVNL,Infrastructure,Engineering - Construction,47226
216,Piramal Finance Ltd.,PIRAMALFIN,Finance,Finance - Housing,46603
217,Premier Energies Ltd.,PREMIERENE,Trading,Trading,46126
218,Ajanta Pharma Ltd.,AJANTPHARM,Healthcare,Pharmaceuticals & Drugs,45924
219,Balkrishna Industries Ltd.,BALKRISIND,Automobile & Ancillaries,Tyres & Allied,45740
220,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare,Pharmaceuticals & Drugs,45555
221,Supreme Industries Ltd.,SUPREMEIND,Plastic Products,Plastic Products,45107
222,Aegis Logistics Ltd.,AEGISLOG,Trading,Trading,44396
223,Ipca Laboratories Ltd.,IPCALAB,Healthcare,Pharmaceuticals & Drugs,43983
224,Voltas Ltd.,VOLTAS,Consumer Durables,Air Conditioners,43842
225,Poonawalla Fincorp Ltd.,POONAWALLA,Finance,Finance - NBFC,43836
226,Petronet LNG Ltd.,PETRONET,Industrials Gases & Fuels,Industrial  Gases & Fuels,42353
227,Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,Chemicals,42237
228,Godrej Industries Ltd.,GODREJIND,Chemicals,Chemicals,42118
229,AIA Engineering Ltd.,AIAENG,Automobile & Ancillaries,Castings/Forgings,41912
230,Astral Ltd.,ASTRAL,Plastic Products,Plastic Products,41775
231,Aditya Infotech Ltd.,CPPLUS,Trading,Trading,41635
232,Page Industries Ltd.,PAGEIND,Textile,Textile,41124
233,JK Cement Ltd.,JKCEMENT,Construction Materials,Cement & Construction Materials,40985
234,Endurance Technologies Ltd.,ENDURANCE,Automobile & Ancillaries,Auto Ancillary,40757
235,Exide Industries Ltd.,EXIDEIND,Automobile & Ancillaries,Batteries,40426
236,Container Corporation Of India Ltd.,CONCOR,Logistics,Logistics,40137
237,Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Hospitality,Travel Services,39796
238,3M India Ltd.,3MINDIA,Diversified,Diversified,39747
239,Himadri Speciality Chemical Ltd.,HSCL,Chemicals,Carbon Black,39410
240,Cochin Shipyard Ltd.,COCHINSHIP,Ship Building,Ship Building,39331
241,Patanjali Foods Ltd.,PATANJALI,Fast Moving Consumer Goods,Edible Oil,38410
242,Global Health Ltd.,MEDANTA,Healthcare,Hospital & Healthcare Services,38238
243,NLC India Ltd.,NLCINDIA,Power,Power Generation/Distribution,38181
244,Housing & Urban Development Corporation Ltd.,HUDCO,Finance,Finance - Housing,38016
245,PI Industries Ltd.,PIIND,Chemicals,Pesticides & Agrochemicals,37930
246,K.P.R. Mill Ltd.,KPRMILL,Textile,Textile,37912
247,Narayana Hrudayalaya Ltd.,NH,Healthcare,Hospital & Healthcare Services,37459
248,L&T Technology Services Ltd.,LTTS,Information Technology,IT - Software,36895
249,Emcure Pharmaceuticals Ltd.,EMCURE,Healthcare,Pharmaceuticals & Drugs,36679
250,United Breweries Ltd.,UBL,Alcohol,Breweries & Distilleries,36385
251,Anand Rathi Wealth Ltd.,ANANDRATHI,Finance,Finance - Others,36103
252,Tata Technologies Ltd.,TATATECH,Information Technology,IT - Software,35213
253,Hexaware Technologies Ltd.,HEXT,Information Technology,IT - Software,34816
254,Escorts Kubota Ltd.,ESCORTS,Automobile & Ancillaries,Automobiles-Tractors,34807
255,Dalmia Bharat Ltd.,DALBHARAT,Construction Materials,Cement & Construction Materials,34555
256,Star Health and Allied Insurance Company Ltd.,STARHEALTH,Finance,Insurance,34408
257,Delhivery Ltd.,DELHIVERY,Logistics,Logistics,34387
258,ITC Hotels Ltd.,ITCHOTELS,Hospitality,"Hotel, Resort & Restaurants",34359
259,HFCL Ltd.,HFCL,Telecom,Telecom-Infrastructure,34163
260,Physicswallah Ltd.,PWL,Other,Educational Institutions,33998
261,Krishna Institute of Medical Sciences Ltd,KIMS,Healthcare,Hospital & Healthcare Services,33983
262,Tata Investment Corporation Ltd.,TATAINVEST,Finance,Finance - NBFC,33757
263,Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods,Cigarettes/Tobacco,33491
264,Jubilant FoodWorks Ltd.,JUBLFOOD,Fast Moving Consumer Goods,Consumer Food,33137
265,Honeywell Automation India Ltd.,HONAUT,Consumer Durables,Consumer Durables - Electronics,32916
266,CRISIL Ltd.,CRISIL,Ratings,Ratings,32759
267,Manappuram Finance Ltd.,MANAPPURAM,Finance,Finance - NBFC,32736
268,Indian Renewable Energy Development Agency Ltd.,IREDA,Finance,Finance - NBFC,32728
269,Schneider Electric Infrastructure Ltd.,SCHNEIDER,Capital Goods,Electric Equipment,32719
270,UCO Bank,UCOBANK,Banking,Bank - Public,32590
271,Dr. Lal Pathlabs Ltd.,LALPATHLAB,Healthcare,Hospital & Healthcare Services,32174
272,Karur Vysya Bank Ltd.,KARURVYSYA,Banking,Bank - Private,32061
273,Inventurus Knowledge Solutions Ltd.,IKS,Information Technology,IT - Software,31542
274,RR Kabel Ltd.,RRKABEL,Electricals,Cable,31493
275,Wockhardt Ltd.,WOCKPHARMA,Healthcare,Pharmaceuticals & Drugs,31398
276,Blue Star Ltd.,BLUESTARCO,Consumer Durables,Air Conditioners,30979
277,Sai Life Sciences Ltd.,SAILIFE,Healthcare,Pharmaceuticals & Drugs,30794
278,Nuvama Wealth Management Ltd.,NUVAMA,Finance,Finance - Stock Broking,30599
279,Kirloskar Oil Engines Ltd.,KIRLOSENG,Capital Goods,Engineering - Industrial Equipments,30558
280,Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Ship Building,Ship Building,30002
281,Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Finance,Finance - Investment,29999
282,PNB Housing Finance Ltd.,PNBHOUSING,Finance,Finance - Housing,29970
283,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile & Ancillaries,Auto Ancillary,29943
284,Neuland Laboratories Ltd.,NEULANDLAB,Healthcare,Pharmaceuticals & Drugs,29908
285,Mangalore Refinery And Petrochemicals Ltd.,MRPL,Crude Oil,Refineries,29891
286,Aegis Vopak Terminals Ltd.,AEGISVOPAK,Miscellaneous,Miscellaneous,29833
287,The New India Assurance Company Ltd.,NIACL,Finance,Insurance,29507
288,Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Finance,Finance - Asset Management,29256
289,PTC Industries Ltd.,PTCIL,Automobile & Ancillaries,Castings/Forgings,28560
290,Netweb Technologies India Ltd.,NETWEB,Consumer Durables,IT - Hardware,28503
291,Central Bank Of India,CENTRALBK,Banking,Bank - Public,28412
292,Apollo Tyres Ltd.,APOLLOTYRE,Automobile & Ancillaries,Tyres & Allied,28198
293,Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals,Pesticides & Agrochemicals,28184
294,Syrma SGS Technology Ltd.,SYRMA,Electricals,Electronics - Components,28182
295,Bandhan Bank Ltd.,BANDHANBNK,Banking,Bank - Private,28146
296,Central Depository Services (India) Ltd.,CDSL,Finance,Depository Services,28098
297,Shyam Metalics And Energy Ltd.,SHYAMMETL,Iron & Steel,Steel & Iron Products,27898
298,LIC Housing Finance Ltd.,LICHSGFIN,Finance,Finance - Housing,27509
299,Piramal Pharma Ltd.,PPLPHARMA,Healthcare,Pharmaceuticals & Drugs,27452
300,IIFL Finance Ltd.,IIFL,Finance,Finance - NBFC,26873
301,Craftsman Automation Ltd.,CRAFTSMAN,Automobile & Ancillaries,Auto Ancillary,26803
302,Motherson Sumi Wiring India Ltd.,MSUMI,Automobile & Ancillaries,Auto Ancillary,26759
303,ITI Ltd.,ITI,Telecom,Telecommunication - Equipment,26583
304,Acutaas Chemicals Ltd.,ACUTAAS,Healthcare,Pharmaceuticals & Drugs,26473
305,Acme Solar Holdings Ltd.,ACMESOLAR,Power,Power Generation/Distribution,26458
306,SJVN Ltd.,SJVN,Power,Power Generation/Distribution,26408
307,Angel One Ltd.,ANGELONE,Finance,Finance - Stock Broking,26223
308,Redington Ltd.,REDINGTON,Trading,Trading,26076
309,Gabriel India Ltd.,GABRIEL,Automobile & Ancillaries,Auto Ancillary,25898
310,Amber Enterprises India Ltd.,AMBER,Consumer Durables,Air Conditioners,25470
311,AWL Agri Business Ltd.,AWL,Fast Moving Consumer Goods,Edible Oil,24986
312,Data Patterns (India) Ltd.,DATAPATTNS,Capital Goods,Aerospace & Defense,24931
313,CreditAccess Grameen Ltd.,CREDITACC,Finance,Finance - NBFC,24873
314,ACC Ltd.,ACC,Construction Materials,Cement & Construction Materials,24802
315,Gillette India Ltd.,GILLETTE,Fast Moving Consumer Goods,Household & Personal Products,24762
316,Belrise Industries Ltd.,BELRISE,Automobile & Ancillaries,Auto Ancillary,24701
317,Timken India Ltd.,TIMKEN,Automobile & Ancillaries,Bearings,24616
318,Kaynes Technology India Ltd.,KAYNES,Electricals,Electronics - Components,24535
319,Force Motors Ltd.,FORCEMOT,Automobile & Ancillaries,Automobiles-Trucks/Lcv,24205
320,NBCC (India) Ltd.,NBCC,Other,Engineering Consultancy,24098
321,Go Digit General Insurance Ltd.,GODIGIT,Finance,Insurance,24080
322,Asahi India Glass Ltd.,ASAHIINDIA,Construction Materials,Glass,23935
323,Affle 3i Ltd.,AFFLE,Information Technology,BPO/ITeS,23526
324,Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,Chemicals,23503
325,Tata Elxsi Ltd.,TATAELXSI,Information Technology,IT - Software,23481
326,IRB Infrastructure Developers Ltd.,IRB,Infrastructure,Engineering - Construction,23262
327,Kalpataru Projects International Ltd.,KPIL,Infrastructure,Engineering - Construction,23090
328,Anant Raj Ltd.,ANANTRAJ,Realty,Construction - Real Estate,22663
329,Pfizer Ltd.,PFIZER,Healthcare,Pharmaceuticals & Drugs,22321
330,Cemindia Projects Ltd.,CEMPRO,Infrastructure,Engineering - Construction,22318
